,tag,patterns,response
745,bias_variance_tradeoff,Explain Bias-Variance Tradeoff.,"Bias-Variance Tradeoff is a concept in machine learning that represents the balance between a model's bias and variance. Bias refers to the error introduced by approximating real-world data with a simplified model, while variance represents the sensitivity of the model to variations in the training data. Finding the right balance between bias and variance is crucial for building a well-performing model."
746,stochastic_gradient_descent,What is Stochastic Gradient Descent (SGD) in machine learning?,"Stochastic Gradient Descent (SGD) is an optimization algorithm commonly used in machine learning for training models. It is a variant of the gradient descent algorithm that updates the model parameters based on a single data point or a small subset of data points at a time, making it computationally efficient for large datasets. SGD is widely used in training deep neural networks and other large-scale machine learning models."
747,stochastic_gradient_descent,Explain Stochastic Gradient Descent.,"Stochastic Gradient Descent (SGD) is an optimization algorithm commonly used in machine learning for training models. It is a variant of the gradient descent algorithm that updates the model parameters based on a single data point or a small subset of data points at a time, making it computationally efficient for large datasets. SGD is widely used in training deep neural networks and other large-scale machine learning models."
748,backpropagation_algorithm,What is the Backpropagation Algorithm in machine learning?,The Backpropagation Algorithm is a widely used optimization algorithm for training artificial neural networks. It is a supervised learning algorithm that uses a gradient-based approach to update the model weights based on the error between the predicted output and the actual output. Backpropagation calculates the gradient of the error with respect to the model weights and uses it to adjust the weights iteratively during the training process.
749,backpropagation_algorithm,Explain Backpropagation Algorithm.,The Backpropagation Algorithm is a widely used optimization algorithm for training artificial neural networks. It is a supervised learning algorithm that uses a gradient-based approach to update the model weights based on the error between the predicted output and the actual output. Backpropagation calculates the gradient of the error with respect to the model weights and uses it to adjust the weights iteratively during the training process.
750,greeting,Hi,Hello!
751,greeting,Hi,Good to see you again!
752,greeting,Hi,"Hi there, how can I help?"
753,greeting,How are you?,Hello!
754,greeting,How are you?,Good to see you again!
755,greeting,How are you?,"Hi there, how can I help?"
756,greeting,Is anyone there?,Hello!
757,greeting,Is anyone there?,Good to see you again!
758,greeting,Is anyone there?,"Hi there, how can I help?"
759,greeting,Hello,Hello!
760,greeting,Hello,Good to see you again!
761,greeting,Hello,"Hi there, how can I help?"
762,greeting,Good day,Hello!
763,greeting,Good day,Good to see you again!
764,greeting,Good day,"Hi there, how can I help?"
765,greeting,What's up,Hello!
766,greeting,What's up,Good to see you again!
767,greeting,What's up,"Hi there, how can I help?"
768,greeting,how are ya,Hello!
769,greeting,how are ya,Good to see you again!
770,greeting,how are ya,"Hi there, how can I help?"
771,greeting,heyy,Hello!
772,greeting,heyy,Good to see you again!
773,greeting,heyy,"Hi there, how can I help?"
774,greeting,whatsup,Hello!
775,greeting,whatsup,Good to see you again!
776,greeting,whatsup,"Hi there, how can I help?"
777,greeting,??? ??? ??,Hello!
778,greeting,??? ??? ??,Good to see you again!
779,greeting,??? ??? ??,"Hi there, how can I help?"
780,goodbye,cya,Sad to see you go :(
781,goodbye,cya,Talk to you later
782,goodbye,cya,Goodbye!
783,goodbye,cya,Come back soon
784,goodbye,see you,Sad to see you go :(
785,goodbye,see you,Talk to you later
786,goodbye,see you,Goodbye!
787,goodbye,see you,Come back soon
788,goodbye,bye bye,Sad to see you go :(
789,goodbye,bye bye,Talk to you later
790,goodbye,bye bye,Goodbye!
791,goodbye,bye bye,Come back soon
792,goodbye,See you later,Sad to see you go :(
793,goodbye,See you later,Talk to you later
794,goodbye,See you later,Goodbye!
795,goodbye,See you later,Come back soon
796,goodbye,Goodbye,Sad to see you go :(
797,goodbye,Goodbye,Talk to you later
798,goodbye,Goodbye,Goodbye!
799,goodbye,Goodbye,Come back soon
800,goodbye,I am Leaving,Sad to see you go :(
801,goodbye,I am Leaving,Talk to you later
802,goodbye,I am Leaving,Goodbye!
803,goodbye,I am Leaving,Come back soon
804,goodbye,Bye,Sad to see you go :(
805,goodbye,Bye,To know about placement visit here
806,goodbye,Bye,Goodbye!
807,goodbye,Bye,Come back soon
808,goodbye,Have a Good day,Sad to see you go :(
809,goodbye,Have a Good day,Talk to you later
810,goodbye,Have a Good day,Goodbye!
811,goodbye,Have a Good day,Come back soon
812,goodbye,talk to you later,Sad to see you go :(
813,goodbye,talk to you later,Talk to you later
814,goodbye,talk to you later,Goodbye!
815,goodbye,talk to you later,Come back soon
816,goodbye,ttyl,Sad to see you go :(
817,goodbye,ttyl,Talk to you later
818,goodbye,ttyl,Goodbye!
819,goodbye,ttyl,Come back soon
820,goodbye,i got to go,Sad to see you go :(
821,goodbye,i got to go,Talk to you later
822,goodbye,i got to go,Goodbye!
823,goodbye,i got to go,Come back soon
824,goodbye,gtg,Sad to see you go :(
825,goodbye,gtg,Talk to you later
826,goodbye,gtg,Goodbye!
827,goodbye,gtg,Come back soon
828,creator,what is the name of your developers,College students
829,creator,what is the name of your creators,College students
830,creator,what is the name of the developers,College students
831,creator,what is the name of the creators,College students
832,creator,who created you,College students
833,creator,your developers,College students
834,creator,your creators,College students
835,creator,who are your developers,College students
836,creator,developers,College students
837,creator,you are made by,College students
838,creator,you are made by whom,College students
839,creator,who created you,College students
840,creator,who create you,College students
841,creator,creators,College students
842,creator,who made you,College students
843,creator,who designed you,College students
844,name,name,You can call me Mind Reader.
845,name,name,I'm Mind Reader
846,name,name,I am a Chatbot.
847,name,name,I am your helper
848,name,your name,You can call me Mind Reader.
849,name,your name,I'm Mind Reader
850,name,your name,I am a Chatbot.
851,name,your name,I am your helper
852,name,do you have a name,You can call me Mind Reader.
853,name,do you have a name,I'm Mind Reader
854,name,do you have a name,I am a Chatbot.
855,name,do you have a name,I am your helper
856,name,what are you called,You can call me Mind Reader.
857,name,what are you called,I'm Mind Reader
858,name,what are you called,I am a Chatbot.
859,name,what are you called,I am your helper
860,name,what is your name,You can call me Mind Reader.
861,name,what is your name,I'm Mind Reader
862,name,what is your name,I am a Chatbot.
863,name,what is your name,I am your helper
864,name,what should I call you,You can call me Mind Reader.
865,name,what should I call you,I'm Mind Reader
866,name,what should I call you,I am a Chatbot.
867,name,what should I call you,I am your helper
868,name,whats your name?,You can call me Mind Reader.
869,name,whats your name?,I'm Mind Reader
870,name,whats your name?,I am a Chatbot.
871,name,whats your name?,I am your helper
872,name,what are you,You can call me Mind Reader.
873,name,what are you,I'm Mind Reader
874,name,what are you,I am a Chatbot.
875,name,what are you,I am your helper
876,name,who are you,You can call me Mind Reader.
877,name,who are you,I'm Mind Reader
878,name,who are you,I am a Chatbot.
879,name,who are you,I am your helper
880,name,who is this,You can call me Mind Reader.
881,name,who is this,I'm Mind Reader
882,name,who is this,I am a Chatbot.
883,name,who is this,I am your helper
884,name,what am i chatting to,You can call me Mind Reader.
885,name,what am i chatting to,I'm Mind Reader
886,name,what am i chatting to,I am a Chatbot.
887,name,what am i chatting to,I am your helper
888,name,who am i taking to,You can call me Mind Reader.
889,name,who am i taking to,I'm Mind Reader
890,name,who am i taking to,I am a Chatbot.
891,name,who am i taking to,I am your helper
892,name,what are you,You can call me Mind Reader.
893,name,what are you,I'm Mind Reader
894,name,what are you,I am a Chatbot.
895,name,what are you,I am your helper
896,hours,timing of college,College is open 8am-5pm Monday-Saturday!
897,hours,what is college timing,College is open 8am-5pm Monday-Saturday!
898,hours,working days,College is open 8am-5pm Monday-Saturday!
899,hours,when are you guys open,College is open 8am-5pm Monday-Saturday!
900,hours,what are your hours,College is open 8am-5pm Monday-Saturday!
901,hours,hours of operation,College is open 8am-5pm Monday-Saturday!
902,hours,when is the college open,College is open 8am-5pm Monday-Saturday!
903,hours,college timing,College is open 8am-5pm Monday-Saturday!
904,hours,what about college timing,College is open 8am-5pm Monday-Saturday!
905,hours,is college open on saturday,College is open 8am-5pm Monday-Saturday!
906,hours,tell something about college timing,College is open 8am-5pm Monday-Saturday!
907,hours,what is the college  hours,College is open 8am-5pm Monday-Saturday!
908,hours,when should i come to college,College is open 8am-5pm Monday-Saturday!
909,hours,when should i attend college,College is open 8am-5pm Monday-Saturday!
910,hours,what is my college time,College is open 8am-5pm Monday-Saturday!
911,hours,college timing,College is open 8am-5pm Monday-Saturday!
912,hours,timing college,College is open 8am-5pm Monday-Saturday!
913,number,more info,You can contact at: NUMBER
914,number,contact info,You can contact at: NUMBER
915,number,how to contact college,You can contact at: NUMBER
916,number,college telephone number,You can contact at: NUMBER
917,number,college number,You can contact at: NUMBER
918,number,What is your contact no,You can contact at: NUMBER
919,number,Contact number?,You can contact at: NUMBER
920,number,how to call you,You can contact at: NUMBER
921,number,College phone no?,You can contact at: NUMBER
922,number,how can i contact you,You can contact at: NUMBER
923,number,Can i get your phone number,You can contact at: NUMBER
924,number,how can i call you,You can contact at: NUMBER
925,number,phone number,You can contact at: NUMBER
926,number,phone no,You can contact at: NUMBER
927,number,call,You can contact at: NUMBER
928,course,list of courses,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
929,course,list of courses offered,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
930,course,list of courses offered in,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
931,course,what are the courses offered in your college?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
932,course,courses?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
933,course,courses offered,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
934,course,courses offered in (your univrsity(UNI) name),"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
935,course,courses you offer,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
936,course,branches?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
937,course,courses available at UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
938,course,branches available at your college?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
939,course,what are the courses in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
940,course,what are branches in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
941,course,what are courses in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
942,course,branches available in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
943,course,can you tell me the courses available in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
944,course,can you tell me the branches available in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
945,course,computer engineering?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
946,course,computer,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
947,course,Computer engineering?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
948,course,it,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
949,course,IT,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
950,course,Information Technology,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
951,course,AI/Ml,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
952,course,Mechanical engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
953,course,Chemical engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
954,course,Civil engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
955,fees,information about fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
956,fees,information on fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
957,fees,tell me the fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
958,fees,college fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
959,fees,fee per semester,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
960,fees,what is the fee of each semester,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
961,fees,what is the fees of each year,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
962,fees,what is fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
963,fees,what is the fees,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
964,fees,how much is the fees,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
965,fees,fees for first year,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
966,fees,fees,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
967,fees,about the fees,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
968,fees,tell me something about the fees,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
969,fees,What is the fees of hostel,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
970,fees,how much is the fees,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
971,fees,hostel fees,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
972,fees,fees for AC room,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
973,fees,fees for non-AC room,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
974,fees,fees for Ac room for girls,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
975,fees,fees for non-Ac room for girls,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
976,fees,fees for Ac room for boys,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
977,fees,fees for non-Ac room for boys,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
978,location,where is the college located,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
979,location,college is located at,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
980,location,where is college,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
981,location,where is college located,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
982,location,address of college,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
983,location,how to reach college,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
984,location,college location,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
985,location,college address,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
986,location,wheres the college,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
987,location,how can I reach college,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
988,location,whats is the college address,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
989,location,what is the address of college,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
990,location,address,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
991,location,location,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>"
992,hostel,hostel facility,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
993,hostel,hostel servive,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
994,hostel,hostel location,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
995,hostel,hostel address,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
996,hostel,hostel facilities,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
997,hostel,hostel fees,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
998,hostel,Does college provide hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
999,hostel,Is there any hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1000,hostel,Where is hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1001,hostel,do you have hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1002,hostel,do you guys have hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1003,hostel,hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1004,hostel,hostel capacity,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1005,hostel,what is the hostel fee,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1006,hostel,how to get in hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1007,hostel,what is the hostel address,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1008,hostel,how far is hostel from college,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1009,hostel,hostel college distance,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1010,hostel,where is the hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1011,hostel,how big is the hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1012,hostel,distance between college and hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1013,hostel,distance between hostel and college,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
1014,event,events organised,"For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>"
1015,event,list of events,"For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>"
1016,event,list of events organised in college,"For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>"
1017,event,list of events conducted in college,"For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>"
1018,event,What events are conducted in college,"For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>"
1019,event,Are there any event held at college,"For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>"
1020,event,Events?,"For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>"
1021,event,functions,"For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>"
1022,event,what are the events,"For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>"
1023,event,tell me about events,"For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>"
1024,event,what about events,"For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>"
1025,document,document to bring,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1026,document,documents needed for admision,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1027,document,documents needed at the time of admission,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1028,document,documents needed during admission,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1029,document,documents required for admision,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1030,document,documents required at the time of admission,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1031,document,documents required during admission,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1032,document,What document are required for admission,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1033,document,Which document to bring for admission,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1034,document,documents,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1035,document,what documents do i need,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1036,document,what documents do I need for admission,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1037,document,documents needed,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>"
1038,floors,size of campus,My College has total 2 floors 
1039,floors,building size,My College has total 2 floors 
1040,floors,How many floors does college have,My College has total 2 floors 
1041,floors,floors in college,My College has total 2 floors 
1042,floors,floors in college,My College has total 2 floors 
1043,floors,how tall is UNI's College of Engineering college building,My College has total 2 floors 
1044,floors,floors,My College has total 2 floors 
1045,syllabus,Syllabus for IT,"Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>"
1046,syllabus,what is the Information Technology syllabus,"Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>"
1047,syllabus,syllabus,"Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>"
1048,syllabus,timetable,"Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>"
1049,syllabus,what is IT syllabus,"Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>"
1050,syllabus,syllabus,"Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>"
1051,syllabus,What is next lecture,"Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>"
1052,library,is there any library,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1053,library,library facility,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1054,library,library facilities,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1055,library,do you have library,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1056,library,does the college have library facility,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1057,library,college library,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1058,library,where can i get books,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1059,library,book facility,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1060,library,Where is library,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1061,library,Library,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1062,library,Library information,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1063,library,Library books information,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1064,library,Tell me about library,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1065,library,how many libraries,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>"
1066,infrastructure,how is college infrastructure,Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection
1067,infrastructure,infrastructure,Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection
1068,infrastructure,college infrastructure,Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection
1069,canteen,food facilities,Our university has canteen with variety of food available
1070,canteen,canteen facilities,Our university has canteen with variety of food available
1071,canteen,canteen facility,Our university has canteen with variety of food available
1072,canteen,is there any canteen,Our university has canteen with variety of food available
1073,canteen,Is there a cafetaria in college,Our university has canteen with variety of food available
